sentence,sentence_id,target_idx,instance_id,target,worker_id,general_comment,question_template_worker,question_worker,answer_worker,answer_range_worker,property_worker,comment_worker,expert_id,question_template_expert,question_expert,answer_expert,answer_range_expert,property_expert,comment_expert,mismatch_type
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many loss?,50 -- 57,"(7, 10)",,,answer
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the counterpart of (the) loss?,Canada,"(6, 7)",counterpart,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a member of relation?,complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(4, 22)",,"Hard to find appropriate question.
QANom is much better here",answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a member of relation?,Hall was charged with three counts of indecent assault after being arrested Wednesday,"(23, 36)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,13,Wiki1k:wikinews:614764:0:1_13,females,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the age of (the) females?,between eight and seventeen years of age,"(15, 22)",age,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(6, 22)",content,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the object of (the) complaints?,Hall,"(23, 24)",object,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many assault?,three counts,"(27, 29)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the victim of (the) assault?,three females between eight and seventeen years of age,"(13, 22)",victim,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the veracity of (the) events?,alleged,"(6, 7)",veracity,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,16,"(3, 4)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,H,"(4, 5)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,9,"(6, 7)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,N,"(7, 8)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a part of subtypes?,"H 1 , 2 and 3 , and N 1 and 2","(13, 25)",,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the nationality of (the) director?,Austrian,"(3, 4)",nationality,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the domain of (the) director?,film director,"(4, 6)",domain,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A1NGGAVIGC9O7V,,What kind of [W]?,What kind of information?,whereabouts of our family members,"(11, 15)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) information?,the whereabouts of our family members,"(10, 16)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,18,Wiki1k:wikinews:614764:0:1_18,years,A1NGGAVIGC9O7V,,What is the [W] a part/member of?,What is the years a part of?,age,"(21, 22)",,,AZC7J87AH18DW,What kind of [W]?,What kind of years?,of age,"(20, 22)",,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A1NGGAVIGC9O7V,,What kind of [W]?,What kind of counts?,indecent assault,"(30, 31)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) counts?,indecent assault,"(30, 32)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A1NGGAVIGC9O7V,,What is the [W] a part/member of?,What is the indecent a part of?,assault,"(31, 32)",,indecent is an adjective,AZC7J87AH18DW,What/Who is (the) [W]?,What is (the) indecent?,assault,"(31, 32)",,Not a noun - it's an adjective!,question
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,7,Wiki1k:wikipedia:10406:28:0_7,presence,A1NGGAVIGC9O7V,,Where is the [W]?,Where is the presence?,Jenny,"(1, 2)",,,AZC7J87AH18DW,Whose [W]?,Whose presence?,Jenny,"(1, 2)",,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A21LONLNBOB8Q,,What/Who is a part/member of [W]?,Who is a member of family?,woman,"(20, 21)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A21LONLNBOB8Q,,What/Who is a part/member of [W]?,Who is a member of family?,I,"(4, 5)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A21LONLNBOB8Q,,What/Who is a part/member of [W]?,Who is a member of family?,members,"(15, 16)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A21LONLNBOB8Q,,Where is the [W]?,Where is the family?,the whereabouts,"(10, 12)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A21LONLNBOB8Q,,Where is the [W]?,Where is the members?,the whereabouts,"(10, 11)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A21LONLNBOB8Q,,What/Who is a part/member of [W]?,Who is a member of members?,woman,"(20, 21)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A21LONLNBOB8Q,,What/Who is a part/member of [W]?,Who is a member of members?,I,"(4, 5)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A21LONLNBOB8Q,,What is the [W] a part/member of?,What is the woman a member of?,our family,"(13, 15)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A21LONLNBOB8Q,,When is the [W]?,When is the information?,soon,"(8, 9)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A21LONLNBOB8Q,,What is the [PROPERTY] of (the) [W]?,What is the connection of (the) relation?,to complaints about alleged events between 1974 and 1984,"(3, 12)",connection,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,13,Wiki1k:wikinews:614764:0:1_13,females,A21LONLNBOB8Q,,When is the [W]?,When is the females?,between 1974 and 1984,"(8, 12)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,A21LONLNBOB8Q,,What is the [PROPERTY] of (the) [W]?,What is the range of (the) age?,between eight and seventeen years,"(15, 20)",range,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,A21LONLNBOB8Q,,When is the [W]?,When is the age?,between 1974 and 1984,"(8, 12)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A21LONLNBOB8Q,,Whose [W]?,Whose counts?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A21LONLNBOB8Q,,What is the [PROPERTY] of (the) [W]?,What is the cause of (the) counts?,complaints about alleged events,"(4, 8)",cause,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A21LONLNBOB8Q,,,,,,,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A21LONLNBOB8Q,,What is the [PROPERTY] of (the) [W]?,What is the subject of (the) complaints?,alleged events between 1974 and 1984,"(6, 12)",subject,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A21LONLNBOB8Q,,What is the [PROPERTY] of (the) [W]?,What is the result of (the) complaints?,three counts of indecent assault,"(27, 32)",result,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A21LONLNBOB8Q,,Whose [W]?,Whose assault?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A21LONLNBOB8Q,,What is the [PROPERTY] of (the) [W]?,What is the victim of (the) assault?,three females,"(13, 15)",victim,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A21LONLNBOB8Q,,What is the [PROPERTY] of (the) [W]?,What is the result of (the) events?,complaints,"(4, 5)",result,,,,,,,,,answer
